新聞臺,#genre#
靖天歡樂,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0doMWJNMzYwWFcyZzFPcWhqamt1SjdtdHlwZ1cyLUVGaXNhTXBqbjh3OU5KQzVVbzlCRlRCQmxDR01haURQZ0VBWmNhSHVZcXN5V0M2OWRMdDg2TW43LXZuVldrcFlTWnpCeFp6ZjF4cmRJemxFRDVoRkRJS3h0WFh6Q3R5SW1rdGFDbzRVUC16dHQyN1JtdDlVUWNFc3hYdmR2RmhPNV9mU1ZoOV9OTVFGdERqRm1YV1oxSUNTMFVVUm1RQ3ZuYmQyOEF4LUdiUVRBUjVTaDhlS0toTS1RLm0zdTg/dT0xNzU3MTIzODE5
靖天歡樂,http://211.23.125.95:50007/4gtv-4gtv054/index.m3u8?proxy=true
龍華經典,http://cdn8.163189.xyz/163189/lhjd
龍華經典,https://cdn8.163189.xyz/163189/lhjd
龍華經典臺,http://xtvantsc.xyz/Smart.php?id=lunghuajingdian_twn
ELTA娛樂,http://211.23.125.95:50007/4gtv-4gtv070/index.m3u8?proxy=true
Taiwan+,https://fastly.live.brightcove.com/6385235869112/ap-northeast-1/6282251407001/eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJob3N0IjoiaWU4OWZvLmVncmVzcy5pdjNqZDgiLCJhY2NvdW50X2lkIjoiNjI4MjI1MTQwNzAwMSIsImVobiI6ImZhc3RseS5saXZlLmJyaWdodGNvdmUuY29tIiwiaXNzIjoiYmxpdmUtcGxheWJhY2stc291cmNlLWFwaSIsInN1YiI6InBhdGhtYXB0b2tlbiIsImF1ZCI6WyI2MjgyMjUxNDA3MDAxIl0sImp0aSI6IjYzODUyMzU4NjkxMTIifQ.4c-V1Ks3nBx9nRljtn5-jCNP_nLuWBbk-pw9BFWZfMQ/playlist-hls.m3u8
戲劇,#genre#
八大戲劇臺,http://208.87.242.79/livehttpplay?channel_id=20071
三立戲劇臺,http://208.87.242.79/livehttpplay?channel_id=10125
三立戲劇頻道,http://61.221.215.25:8800/hls/41/index.m3u8
採昌影劇,https://cdn12.178.indevs.in/163189/0a6204ed0261460c
靖天戲劇,https://cdn12.178.indevs.in/163189/177d541552f78003
靖天戲劇,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0dTR2lEZUVQcUlFSlZ4M3VzMjZrbUxGYURtMEtDQzBxSXIxWHJvczh6R29FUE5IYUZ6WFFMQWlGQmxicjZxU3ZNTjVaN3l6R3FOd0VDT09hVm9YeHRnY19JZEhLclBiNEZHbWpwU2tzakU0WWlJQjR6U1NFeHZuSTg0MEZiQ2h2TTZudVg1ZlRFSnZITnpQVjJwQU1oLVFKRWZhc21wejVCM2x2aUNYOU1XTWRYYUFvOGxUMXBqWFlEOGJPckFFTDFhSklyYjYwRl9Wb2p0RjlDM2J0dkVRLm0zdTg/dT0xNzU3MTIzODE5
靖天戲劇,http://211.23.125.95:50007/4gtv-4gtv058/index.m3u8?proxy=true
靖洋戲劇,http://iptv.4666888.xyz/iptv2A.php?id=42
靖洋戲劇,https://cdn12.178.indevs.in/163189/25084ef5a2662aad
靖洋戲劇,http://211.23.125.95:50007/4gtv-4gtv045/index.m3u8?proxy=true
龍華日韓,http://cdn8.163189.xyz/163189/lhrh
龍華日韓,https://cdn8.163189.xyz/163189/lhrh
龍華偶像,https://cdn8.163189.xyz/163189/lhox
龍華偶像,http://cdn8.163189.xyz/163189/lhox
龍華戲劇,http://cdn8.163189.xyz/163189/lhxj
龍華戲劇,https://cdn8.163189.xyz/163189/lhxj
電影,#genre#
天映電影,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
東森電影,http://iptv.4666888.xyz/iptv2A.php?id=48
美亞電影-臺灣,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
靖天映畫,https://cdn12.178.indevs.in/163189/bd4752bd7828b2bf
靖天映畫,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0dEWHYxU2ZaMU1oaHRMRHZNZFp0U2lkcU8xWVBXdXUwMFphQXpfYjBJaGJiN1E1MU9reU5mczJEOE5FclFVQjUtWkRIVDZaa2tmNEh3MjhveGV1WFBRelhhYXlFMHpWY0E5YjRBY0JQUWd0MFlzTGs2NHdjdjkxU2EtR2swbkRURV9SUDNxZ1lNcFVOcFRUVExpVEdLT1hTZHllNVhtbElqYmlwYXRkMlFhVE0xeWx4THl0Tno3Yk1KUEMyaERhYkFIcWJ0TzlEWlotNER1TXZZZk1OR2JnLm0zdTg/dT0xNzU3MTIzODE5
靖天映畫,http://211.23.125.95:50007/4gtv-4gtv055/index.m3u8?proxy=true
靖天電影,http://iptv.4666888.xyz/iptv2A.php?id=56
靖天電影,https://cdn12.178.indevs.in/163189/ed33509e03e78c7a
靖天電影,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0dJVnlES1FvOFQxWjh4dEhwU2ZYQTRmQTR0Z0wtMXJGdU4tc25YUHg5WF9LRHJzZXZpaTE0aktETVMzWUFOWUlaOGloSm9wajI1aVhFVnJqaG1PWERxX19YRjU0T0lKdTFPMjJRWEdBcmRzRDRQYjlOdnAzZGpUVm1EWWdUamVlaWluSUJtS2VqaklrZFE4OVc3U2VCNzdoak1xbDhSbzFxaWtyVklsR3FaYkxGMXVNdjVQNmtQc1c0QkhqaFZiQ2Q3RXkzeVk2VEdidW9fdFJvc3FwWUFRLm0zdTg/dT0xNzU3MTIzODE5
靖天電影,http://211.23.125.95:50007/4gtv-4gtv061/index.m3u8?proxy=true
影迷數位電影,http://iptv.4666888.xyz/iptv2A.php?id=54
影迷數位電影,https://cdn12.178.indevs.in/163189/a643783ec587540e
龍祥時代,http://ip1.xiaomidadi.cn:8088/live/qewgR4nMPb3lA3kV/hls.m3u8
龍華洋片,http://iptv.4666888.xyz/iptv2A.php?id=60
龍華電影,http://iptv.4666888.xyz/iptv2A.php?id=45
龍華電影,https://cdn8.163189.xyz/163189/lhdy
龍華電影,http://cdn8.163189.xyz/163189/lhdy
龍華電影臺,http://xtvantsc.xyz/Smart.php?id=xingwei_movie
AMC 米高梅電影,http://148.113.160.49:14207/
AMC East,https://bcovlive-a.akamaihd.net/ba853de442c140b7b3dc020001597c0a/us-east-1/6245817279001/playlist.m3u8
amc電影,https://cdn12.178.indevs.in/163189/0bcf9bb8c452e56a
AMC電影,http://61.221.215.25:8800/hls/43/index.m3u8
AMC電影-臺灣,http://211.23.125.95:50007/4gtv-4gtv017/index.m3u8?proxy=true
CATCHPLAY電影臺,http://208.87.242.79/livehttpplay?channel_id=10127
CHC 影迷電影,http://nas.home.plugintool.top:2333/udp/239.76.252.242:9000
CHC-動作電影,http://nas.home.plugintool.top:2333/udp/239.76.252.243:9000
CHC動作電影,http://61.184.46.85:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0$荊州電信
CHC動作電影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC動作電影,http://go.bkpcp.top/mg/dzdy
CHC影迷電影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CHC影迷電影,http://go.bkpcp.top/mg/ymdy
CinemaWorld,https://cdn12.178.indevs.in/163189/6086cfe7a9756110
CINEMAX,1905流金歲月 https://cdn.jdshipin.com/1905.php
CINEMAX,http://148.113.160.49:14200/
HBO +,http://148.113.160.49:14193/
HBO family,http://208.87.242.79/livehttpplay?channel_id=20092
HBO FANILY,http://148.113.160.49:14190/
HBO HD,http://208.87.242.79/livehttpplay?channel_id=20093
HBO HITS,http://208.87.242.79/livehttpplay?channel_id=20091
HBO MUNDL,http://148.113.160.49:14183/
HBO POP,http://148.113.160.49:14180/
HBO XTREME,http://148.113.160.49:14175/
My Cinema Europe,https://cdn12.178.indevs.in/163189/5bda99f1c049edef
兒童,#genre#
靖天卡通,http://nn.7x9d.cn/xzc2.php?ua=TW96aWxsYS81LjAgKExpbnV4OyBBbmRyb2lkIDE2OyBWMjM1MkEpIEFwcGxlV2ViS2l0LzUzNy4zNiAoS0hUTUwsIGxpa2UgR2Vja28pIENocm9tZS8xMzEuMC42Nzc4LjIwMCBNb2JpbGUgU2FmYXJpLzUzNy4zNiBWaXZvQnJvd3Nlci8yOC4wLjAuMA==&hls=aHR0cDovLzguMjE4Ljg0LjM6ODg4NS9saXZlL05sQWhnZFI0NzVfcDlwSGVLRTFHMXJJTG9WbDE4UXFlMzZqVXNpV3FZNVMyNkxRek5BLTgybzBMU2lObzEzT0dXSmxMUnQxYjRUMzdaUGYyMUhNNTZJY1JXVjBQeFdXSy1CNWNhU25jaGZZcTZSUFRGMUdOeUE0WFhhN1N0OHBad1ppZEVPMVB1OGh4Mi0zUjZaejc4UUJPd1pncXgyeE96T0NEajR0RmI4aVZCeFgycC1GRk5tVXRUU0hHVmZHTjctSmsxREVHR0lwMEloNXhtOERvQ3JIc3RJR0ZsYlNfRnNHLUExcHJDeWdqc1RaY1p6NUNRTnlOX1RzcU03QlJQSFhlQnFtS2N2T2dhU0d0SEluc1JBLm0zdTg/dT0xNzU3MTIzODE5
靖天卡通,http://211.23.125.95:50007/4gtv-4gtv044/index.m3u8?proxy=true
靖天卡通臺,http://xtvantsc.xyz/Smart.php?id=jingtiancartoon_twn
龍華卡通,http://cdn8.163189.xyz/163189/lhkt
DreamWorks夢工廠動畫,https://cdn12.178.indevs.in/163189/10395eb942c5a9b9
MOMO親子,http://iptv.4666888.xyz/iptv2A.php?id=49
音樂旅遊生活,#genre#
生活時尚,http://nas.home.plugintool.top:2333/udp/239.76.254.73:9000
亞洲旅遊,http://211.23.125.95:50007/4gtv-4gtv076/index.m3u8?proxy=true
BBC Lifestyle,https://hls.iill.top/api/BBC-Lifestyle/index.m3u8
探索,#genre#
宇宙探索飛船,http://222.186.39.21:35466/douyu/9456028
動物星球頻道,http://61.221.215.25:8800/hls/57/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
BBC Earth,https://hls.iill.top/api/BBC-Earth/index.m3u8
BBC Earth,https://amg00793-amg00793c6-xumo-us-2669.playouts.now.amagi.tv/BBCStudios-BBCEarthA-hls/playlist540p.m3u8
BBC Earth,https://cbsn-dal.cbsnstream.cbsnews.com/out/v1/ffa98bbf7d2b4c038c229bd4d9122708/master.m3u8
Discovery,https://hls.iill.top/api/Discovery/index.m3u8
18,#genre#
彩虹,https://cfss.cc/api/kg/355.mp4
極限挑戰專場,https://isus.cc/php/huya.php?id=29982632
